is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,user.utc_dist
0,580319983676313601,,germanwings-crash,580319983676313601,1,,8330472,98,0,0,1,0,1,51,10,0,0,1427194040000.0,0,0,0,0,107042,1,179430,3550,115,7,6,0,74,Madrid,1,0,1187704999000.0,1,16777215,11453380,0.0
0,580319983676313601,5.803199836763136e+17,germanwings-crash,580322851850461184,0,8330472.0,2307392966,109,0,1,1,0,1,10,6,1,0,1427194724000.0,0,0,0,0,2076,0,988,7,121,7,7,0,1782,,1,1,1390519617000.0,1,12639981,12639981,
0,580319983676313601,5.803228518504612e+17,germanwings-crash,580323127089082368,0,2307392966.0,2535310842,36,0,2,0,0,0,0,0,2,0,1427194790000.0,0,0,0,0,701,0,62,1,34,13,13,0,121,,0,0,1401464358000.0,1,0,0,
0,580319983676313601,5.803231270890824e+17,germanwings-crash,580325737619685377,0,2535310842.0,2535310842,72,0,2,0,0,0,0,1,2,0,1427195412000.0,0,0,0,0,701,0,62,1,34,13,13,0,121,,0,0,1401464358000.0,1,0,0,
0,580321203757387776,,germanwings-crash,580321203757387776,1,,92771309,85,0,0,1,1,1,235,30,0,0,1427194331000.0,0,0,0,0,11447,1,20839,369,108,10,12,0,1354,London,1,0,1259248119000.0,1,13421772,16777215,
0,580321203757387776,5.803212037573878e+17,germanwings-crash,580324361342615552,0,92771309.0,161546098,117,0,1,1,1,1,0,0,1,0,1427195084000.0,0,0,0,0,4470,0,74,8,86,2,6,0,151,Hawaii,1,0,1277955691000.0,0,12639981,12639981,11.0
0,580322026029654018,,germanwings-crash,580322026029654018,1,,366089337,39,0,0,0,1,1,49,8,0,0,1427194527000.0,0,0,0,0,58316,0,3237,33,20,6,12,0,600,Alaska,1,1,1314889821000.0,1,12639981,12639981,9.0
0,580322026029654018,5.80322026029654e+17,germanwings-crash,580332543087505408,0,366089337.0,744921588,100,0,1,0,1,1,0,0,1,0,1427197034000.0,0,0,1,1,9165,0,508,8,122,19,8,0,612,Kuala Lumpur,1,1,1344421441000.0,1,12639981,12639981,7.0
0,580322102307373056,,germanwings-crash,580322102307373056,1,,16211566,109,0,0,1,1,2,47,9,0,0,1427194545000.0,0,0,0,0,47613,1,11982,685,159,17,11,0,1598,London,1,0,1220995505000.0,1,16777215,0,
0,580322102307373056,5.80322102307373e+17,germanwings-crash,580323429162881024,0,16211566.0,59812246,122,0,1,1,0,2,1,0,1,0,1427194862000.0,0,0,0,0,17752,0,275,29,109,10,5,0,261,Lisbon,1,0,1248450007000.0,1,16777215,3904729,0.0
0,580322102307373056,5.80322102307373e+17,germanwings-crash,580349597937213440,0,16211566.0,40643525,143,0,1,0,1,0,0,0,1,0,1427201101000.0,0,0,0,0,226,0,20,0,0,19,7,0,63,Athens,1,1,1242558629000.0,1,12639981,12639981,2.0
0,580322102307373056,5.80322102307373e+17,germanwings-crash,580354053214867457,0,16211566.0,97357772,128,0,1,1,1,2,1,1,1,0,1427202163000.0,0,0,1,1,13963,0,594,4,140,9,12,0,439,Alaska,1,0,1261022283000.0,1,16777215,10151144,9.0
0,580322332348190720,,germanwings-crash,580322332348190720,1,,92771309,84,0,0,0,1,1,36,8,0,0,1427194600000.0,0,0,0,0,11447,1,20838,369,108,10,12,0,1354,London,1,0,1259248119000.0,1,13421772,16777215,
0,580322332348190720,5.803223323481907e+17,germanwings-crash,580322627555889152,0,92771309.0,16933178,106,0,2,0,1,1,0,0,2,0,1427194670000.0,0,0,0,0,8307,0,449,7,153,10,6,0,1321,Santiago,1,0,1224789026000.0,1,3881787,0,4.0
0,580322332348190720,5.803223323481907e+17,germanwings-crash,580322701648203776,0,92771309.0,1040962352,104,0,1,0,1,1,0,0,1,0,1427194688000.0,0,0,0,0,24415,0,866,44,160,15,15,0,1996,Sydney,1,0,1356655061000.0,1,11061239,140080,10.0
0,580322332348190720,5.803223323481907e+17,germanwings-crash,580323460464791552,0,92771309.0,19910285,121,0,1,0,1,1,13,2,1,0,1427194869000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,580324124926578688,0,19910285.0,116910049,122,0,2,0,0,0,0,0,2,0,1427195027000.0,0,0,0,0,4956,0,1134,27,133,14,13,0,1999,London,1,1,1266968208000.0,0,12639981,12639981,0.0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,580324353339981824,0,19910285.0,19145560,39,0,2,0,0,0,0,0,2,0,1427195082000.0,0,0,0,0,80122,0,737,58,26,7,5,0,1986,London,1,0,1232289391000.0,0,16777215,11722714,0.0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,580324675898765313,0,19910285.0,22272218,137,0,3,0,0,0,0,0,3,0,1427195159000.0,0,0,0,0,229,0,17,0,154,11,9,0,61,,1,1,1235839782000.0,0,12639981,12639981,
0,580322332348190720,5.803234604647916e+17,germanwings-crash,580325067118252032,0,19910285.0,18329957,93,0,1,0,0,0,0,0,1,0,1427195252000.0,0,0,0,0,6736,0,606,20,125,12,8,0,726,London,1,1,1230022997000.0,1,12639981,12639981,0.0
0,580322332348190720,5.80325067118252e+17,germanwings-crash,580326249257529346,0,18329957.0,19910285,73,0,1,0,0,0,0,0,1,0,1427195534000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322332348190720,5.803262492575293e+17,germanwings-crash,580329175996874752,0,19910285.0,18329957,140,0,1,1,0,0,0,0,1,0,1427196232000.0,0,0,0,0,6736,0,606,20,125,12,8,0,726,London,1,1,1230022997000.0,1,12639981,12639981,0.0
0,580322332348190720,5.803246758987653e+17,germanwings-crash,580329525239619586,0,22272218.0,19910285,55,0,3,0,0,0,0,0,3,0,1427196315000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322332348190720,5.803291759968748e+17,germanwings-crash,580329914202624000,0,18329957.0,19910285,18,0,1,0,0,0,0,0,1,0,1427196408000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322332348190720,5.803246758987653e+17,germanwings-crash,580448858402095105,0,22272218.0,22272218,123,0,3,0,0,0,0,0,3,0,1427224766000.0,0,0,0,0,229,0,17,0,154,11,9,0,61,,1,1,1235839782000.0,0,12639981,12639981,
0,580322332348190720,5.804488584020951e+17,germanwings-crash,580489473714176000,0,22272218.0,19910285,43,0,1,0,0,0,0,0,1,0,1427234450000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322332348190720,5.80489473714176e+17,germanwings-crash,581086389778948096,0,19910285.0,22272218,136,0,1,0,0,0,0,0,1,0,1427376766000.0,0,0,0,0,229,0,17,0,154,11,9,0,61,,1,1,1235839782000.0,0,12639981,12639981,
0,580322332348190720,5.810863897789481e+17,germanwings-crash,581089827845701632,0,22272218.0,19910285,24,0,1,0,0,0,0,0,1,0,1427377585000.0,0,0,0,0,12930,0,6122,349,56,12,12,0,1494,London,0,0,1233586896000.0,1,16777215,1656570,0.0
0,580322653472493569,,germanwings-crash,580322653472493569,1,,2566535282,106,0,1,0,1,1,46,2,1,0,1427194677000.0,0,0,0,0,27527,0,35880,1205,153,13,13,0,946,Belgrade,1,0,1402724996000.0,0,12639981,12639981,0.0
0,580322653472493569,5.803226534724936e+17,germanwings-crash,580326237815476224,0,2566535282.0,1139254410,118,0,2,0,0,0,0,0,2,0,1427195531000.0,0,0,0,0,1954,0,1598,8,120,18,10,0,1472,,1,1,1359713560000.0,0,12639981,12639981,
0,580323152103911424,,germanwings-crash,580323152103911424,1,,95747671,72,0,1,0,1,0,72,8,1,0,1427194796000.0,0,0,0,0,9395,0,48000,1407,88,20,11,0,426,Paris,1,0,1260397656000.0,1,12639981,12639981,0.0
0,580323152103911424,5.803231521039114e+17,germanwings-crash,580323880377561088,0,95747671.0,157310916,125,0,2,0,1,0,5,1,2,0,1427194969000.0,0,0,0,0,19733,0,1194,34,130,10,10,0,1998,Tokyo,1,0,1276953337000.0,1,13882063,15592681,8.0
0,580323152103911424,5.803231521039114e+17,germanwings-crash,580324150432120833,0,95747671.0,2339351,91,0,2,0,1,0,0,0,2,0,1427195034000.0,0,0,0,0,15676,0,665,20,16,14,9,0,1335,London,1,0,1174936046000.0,1,16777215,10151144,0.0
0,580323152103911424,5.803231521039114e+17,germanwings-crash,580324469379567616,0,95747671.0,158865228,65,0,3,0,0,0,0,0,3,0,1427195110000.0,0,0,0,0,1869,0,73,1,87,4,10,0,133,Amsterdam,1,0,1277328810000.0,1,11061239,140080,1.0
0,580323498905702400,,germanwings-crash,580323498905702400,1,,134196350,134,0,0,0,1,1,1687,273,0,0,1427194878000.0,0,0,0,0,7991,1,214191,2384,146,13,13,0,369,Stockholm,1,0,1271528841000.0,1,16777215,12639981,0.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580323713742184448,0,134196350.0,728867184,51,0,1,0,0,0,0,0,1,0,1427194929000.0,0,0,0,0,3129,0,18,0,70,8,10,0,72,,1,1,1343756458000.0,1,12639981,12639981,
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580324057603710977,0,134196350.0,139631790,137,0,2,0,0,0,1,0,2,0,1427195011000.0,0,0,0,0,65379,0,2316,42,81,5,8,0,2460,Brisbane,1,0,1272867380000.0,1,1579550,1710879,9.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580324260562018304,0,134196350.0,212366011,38,0,1,1,0,0,0,0,1,0,1427195060000.0,0,0,0,0,2864,0,236,6,127,10,11,0,199,London,1,0,1288993956000.0,1,16777215,12639981,0.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580324371627016192,0,134196350.0,2169512643,52,0,1,0,0,0,0,0,1,0,1427195086000.0,0,0,0,0,7793,0,402,5,129,18,13,0,1326,,1,1,1383664576000.0,1,12639981,12639981,
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580324417420414977,0,134196350.0,543154591,119,0,1,0,1,1,0,0,1,0,1427195097000.0,0,0,0,0,4624,0,398,7,20,18,12,0,764,Brisbane,1,0,1333347007000.0,1,0,16777215,9.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580324627962073089,0,134196350.0,81132822,72,0,1,0,0,0,0,0,1,0,1427195147000.0,0,0,0,0,3286,0,155,1,94,14,15,0,623,Dublin,1,0,1255101995000.0,1,11061239,140080,0.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580325220713676800,0,134196350.0,3084667744,25,0,1,0,0,0,0,0,1,0,1427195289000.0,0,0,0,0,48,0,2,0,0,8,9,0,23,,1,1,1426013174000.0,0,12639981,12639981,
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580326422285324288,0,134196350.0,369977629,42,0,2,0,0,0,0,0,2,0,1427195575000.0,0,0,0,0,435,0,138,6,85,13,7,0,364,,1,1,1315469098000.0,1,12639981,12639981,
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580326907675312128,0,134196350.0,347272430,14,0,1,0,0,0,0,0,1,0,1427195691000.0,0,0,0,0,32,0,6,0,93,15,9,0,20,Abu Dhabi,1,1,1312297025000.0,1,12639981,12639981,3.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580327020346904576,0,134196350.0,347272430,128,0,1,0,0,1,0,0,1,0,1427195718000.0,0,0,0,0,32,0,6,0,93,15,9,0,20,Abu Dhabi,1,1,1312297025000.0,1,12639981,12639981,3.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580327594949779456,0,134196350.0,240279011,133,0,2,0,1,1,0,0,2,0,1427195855000.0,0,0,1,1,7536,1,2397,112,156,15,13,0,1040,Eastern Time (US & Canada),0,0,1295450554000.0,1,0,140080,5.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580327955924152320,0,134196350.0,135886035,38,0,1,1,0,0,0,0,1,0,1427195941000.0,0,0,0,0,835,0,9,2,0,5,9,0,54,Amsterdam,1,1,1271943255000.0,0,12639981,12639981,1.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580330012424810497,0,134196350.0,405683625,67,0,2,0,0,0,0,0,2,0,1427196431000.0,0,0,0,0,5055,0,105,4,0,12,10,0,109,,1,1,1320512810000.0,0,12639981,12639981,
0,580323498905702400,5.803300124248105e+17,germanwings-crash,580331680457625600,0,405683625.0,15016162,31,0,2,0,0,0,0,0,2,0,1427196829000.0,0,0,0,0,3429,0,3534,58,101,13,6,0,679,Hawaii,1,0,1212659815000.0,1,16775341,16773197,11.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580336005611388928,0,134196350.0,805414416,28,0,2,0,0,0,0,0,2,0,1427197860000.0,0,0,0,0,648,0,17,2,0,18,8,0,151,Hawaii,1,0,1346880403000.0,1,12639981,12639981,11.0
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580337623631155200,0,134196350.0,2459278543,109,0,1,1,0,0,0,0,1,0,1427198246000.0,0,0,0,0,15607,0,518,20,131,14,13,0,1532,,1,0,1398232860000.0,1,12639981,12639981,
0,580323498905702400,5.803234989057024e+17,germanwings-crash,580339072683630592,0,134196350.0,193770843,128,0,1,0,0,0,1,1,1,0,1427198591000.0,0,0,0,0,25696,0,15614,391,32,12,11,0,717,Paris,1,0,1285175184000.0,0,15329769,26239,1.0
0,580323498905702400,5.803390726836306e+17,germanwings-crash,580339428977152000,0,193770843.0,134196350,117,0,1,1,0,0,4,4,1,0,1427198676000.0,0,0,0,0,8180,1,223133,2492,146,13,13,0,372,Stockholm,1,0,1271528841000.0,1,16777215,12639981,1.0
